# Confinement Reference Dataset - Active Polymer N=40
#
# Reference base: H_conf (Shannon entropy in confinement, cavity only)
# All other observables fuzzy-matched with tolerance=0.05 on (Pe, T, kappa)
#
# Use this dataset when correlating confinement observables or mixed observables
# with emphasis on confinement data completeness.
#
# Columns:
# - Pe, T, kappa: simulation parameters (dimensionless)
# - H_free: Shannon entropy in free space
# - lp_free: Persistence length from averaged correlation (normalized)
# - lp_free_individual: Mean of individual polymer persistence lengths (normalized)
# - tau_decorr_free: End-to-end vector decorrelation time in free space (minutes)
# - D_long: Long-time diffusion coefficient in free space (mm²/s)
# - H_conf: Shannon entropy in confinement, CAVITY ONLY (REFERENCE BASE)
# - lp_conf: Persistence length from averaged correlation in confinement (normalized)
# - lp_conf_individual: Mean of individual polymer persistence lengths in confinement (normalized)
# - ttrap: Mean trapping time in cavity (minutes)
# - tau_decorr_cavity: E2E decorrelation time in cavity ONLY (minutes)
#
# Rotational number analysis (τ_trans = min(τ_15, τ_0) for robust estimation):
# - N_rot: Rotational number = τ_rot / τ_trans
# - tau_trans: Actual saturation time used = min(τ_15, τ_0) (minutes)
# - R2_trans: Actual surface visited at τ_trans (= 15 if τ_15, = MSD_max if τ_0)
# - tau_rot: Rotational timescale = 1/D_r (minutes)
#
Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free,tau_decorr_free_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_trans,R2_trans,tau_rot
0.100000,0.020000,0.150000,,,,,,,,,,,,,1.688420,0.093607,0.012500,0.962871,,2.846667,0.610601,0.171229,,,,,,0.994000,0.380000,15.000000,0.380000
0.100000,0.020000,0.250000,,,,,,,,,,,,,1.262399,0.149844,0.012500,0.872909,,2.120370,0.972639,0.084252,9.458367,20.967742,13.000000,49.000000,62.000000,0.359000,0.380000,15.000000,0.140000
0.100000,0.020000,0.350000,,,,,,,,,,,,,1.266636,0.077674,0.012500,0.891271,,4.246341,4.316785,0.122658,39.759036,73.333333,55.000000,20.000000,75.000000,0.186000,0.850000,15.000000,0.160000
0.100000,0.020000,0.400000,,,,,,,,,,,,,1.323168,0.070540,0.012500,0.866471,,,,0.085747,,,,,,1.333000,0.430000,15.000000,0.580000
0.100000,0.020000,0.500000,,,,,,,,,,,,,1.407242,0.074738,0.012500,0.853422,,5.880047,9.604902,0.840130,46.227929,95.522388,64.000000,3.000000,67.000000,0.267000,0.380000,15.000000,0.100000
0.100000,0.020000,0.650000,,,,,,,,,,,,,1.112151,0.074160,0.012500,0.860724,,9.857292,14.642789,0.234037,,,,,,1.729000,0.180000,15.000000,0.320000
0.100000,0.040000,0.150000,,,,,,,,,,,,,4.401103,0.093607,0.012500,0.962871,,2.846667,0.610601,0.171229,,,,,,0.994000,0.380000,15.000000,0.380000
0.100000,0.040000,0.250000,,,,,,,,,,,,,3.009237,0.149844,0.012500,0.872909,,2.120370,0.972639,0.084252,9.458367,20.967742,13.000000,49.000000,62.000000,0.359000,0.380000,15.000000,0.140000
0.100000,0.040000,0.350000,,,,,,,,,,,,,2.509130,0.077674,0.012500,0.891271,,4.246341,4.316785,0.122658,39.759036,73.333333,55.000000,20.000000,75.000000,0.186000,0.850000,15.000000,0.160000
0.100000,0.040000,0.400000,,,,,,,,,,,,,1.968357,0.121944,0.012500,0.964369,,,,0.085747,,,,,,0.164000,0.470000,15.000000,0.080000
