Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free,tau_decorr_free_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_eff,tau_star,tau_geom,tau_0,tau_rot,D_r,mobility
0.1,0.02,0.15,,,,,,,,,,,,,1.68842,0.093607,0.0125,0.962871,,1.316667,0.0,8.036,,,,,,4.522,2.32,2.32,2.32,0.67,0.51,1.9519,0.4310344827586207
0.1,0.02,0.25,,,,,,,,,,,,,1.262399,0.149844,0.0125,0.872909,,2.12037,0.972639,10.225,9.458367,20.967742,13.0,49.0,62.0,0.295,0.23,0.23,0.23,0.23,0.79,1.2638,4.3478260869565215
0.1,0.02,0.35,,,,,,,,,,,,,1.266636,0.077674,0.0125,0.891271,,4.246341,4.316785,5.259,39.759036,73.333333,55.0,20.0,75.0,17.366,3.47,3.47,3.47,0.32,0.2,5.0095,0.2881844380403458
0.1,0.02,0.4,,,,,,,,,,,,,1.323168,0.07054,0.0125,0.866471,,,,5.155,,,,,,1.741,3.52,3.52,3.52,0.33,2.02,0.49511,0.2840909090909091
0.1,0.02,0.5,,,,,,,,,,,,,1.407242,0.074738,0.0125,0.853422,,5.880047,9.604902,7.492,46.227929,95.522388,64.0,3.0,67.0,27.199,4.25,4.25,4.25,0.33,0.16,6.3997,0.2352941176470588
0.1,0.02,0.65,,,,,,,,,,,,,1.112151,0.07416,0.0125,0.860724,,9.857292,14.642789,7.681,,,,,,48.243,3.73,3.73,3.73,0.35,0.08,12.922,0.2680965147453083
0.1,0.04,0.15,,,,,,,,,,,,,4.401103,0.093607,0.0125,0.962871,,1.316667,0.0,11.113,,,,,,1.688,0.55,0.87,0.87,0.87,0.33,3.0683,1.818181818181818
0.1,0.04,0.25,,,,,,,,,,,,,3.009237,0.149844,0.0125,0.872909,,0.908333,0.270288,10.225,9.458367,20.967742,13.0,49.0,62.0,1.787,0.7,0.7,0.7,0.72,0.39,2.5532,1.4285714285714286
0.1,0.04,0.35,,,,,,,,,,,,,2.50913,0.077674,0.0125,0.891271,,4.246341,4.316785,5.259,39.759036,73.333333,55.0,20.0,75.0,4.512,0.85,0.85,0.85,0.85,0.19,5.3078,1.1764705882352942
0.1,0.04,0.4,,,,,,,,,,,,,1.968357,0.121944,0.0125,0.964369,,2.075,0.785104,5.155,,,,,,0.809,0.43,0.43,0.43,0.45,0.54,1.8663,2.3255813953488373
0.1,0.04,0.5,,,,,,,,,,,,,1.721892,0.074738,0.0125,0.853422,,4.583122,4.261477,7.492,46.227929,95.522388,64.0,3.0,67.0,1.162,1.03,1.03,1.03,0.5,0.89,1.1241,0.970873786407767
0.1,0.04,0.65,,,,,,,,,,,,,1.019299,0.07416,0.0125,0.860724,,4.742667,5.352523,7.681,48.233861,92.957746,66.0,5.0,71.0,0.108,0.17,0.17,0.17,0.17,1.55,0.647,5.88235294117647
0.1,0.06,0.15,,,,,,,,,,,,,4.557785,0.093607,0.0125,0.962871,,1.545833,0.326138,11.113,,,,,,4.959,0.58,1.2,1.2,1.2,0.12,8.5017,1.7241379310344829
0.1,0.06,0.2,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,5.344431,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,1.704,0.35,0.62,7.82,0.68,0.21,4.868,2.857142857142857
0.1,0.06,0.25,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,4.524313,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,1.877,0.37,0.7,0.7,0.7,0.2,5.1201,2.702702702702702
0.1,0.06,0.35,,,,,,,,,,,,,5.324188,0.077674,0.0125,0.891271,,4.942424,4.159178,5.259,39.759036,73.333333,55.0,20.0,75.0,1.435,0.28,0.4,0.47,0.6,0.2,5.0661,3.571428571428571
0.1,0.06,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,2.223004,0.121944,0.0125,0.964369,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,4.123,1.23,1.23,1.23,0.52,0.3,3.3431,0.8130081300813008
0.1,0.06,0.5,,,,,,,,,,,,,4.35058,0.074738,0.0125,0.853422,,4.583122,4.261477,16.692,46.227929,95.522388,64.0,3.0,67.0,6.55,0.27,0.37,0.4,0.67,0.04,24.561,3.7037037037037033
0.1,0.06,0.65,,,,,,,,,,,,,2.898004,0.07416,0.0125,0.860724,,4.897588,5.043534,15.716,48.233861,92.957746,66.0,5.0,71.0,4.741,0.28,0.38,0.43,0.67,0.06,16.732,3.571428571428571
0.1,0.08,0.15,,,,,,,,,,,,,4.590999,0.093607,0.0125,0.962871,,1.545833,0.326138,11.113,,,,,,1.934,0.58,3.53,3.53,1.08,0.3,3.3163,1.7241379310344829
