# Free Space Reference Dataset - Active Polymer N=40
#
# Reference base: H_free (Shannon entropy in free space)
# All other observables fuzzy-matched with tolerance=0.05 on (Pe, T, kappa)
#
# Use this dataset when correlating free space observables or mixed observables
# with emphasis on free space data completeness.
#
# Columns:
# - Pe, T, kappa: simulation parameters (dimensionless)
# - H_free: Shannon entropy in free space (REFERENCE BASE)
# - lp_free: Persistence length from averaged correlation (normalized)
# - lp_free_individual: Mean of individual polymer persistence lengths (normalized)
# - tau_decorr_free_full: E2E full-vector decorrelation time in free space (seconds)
# - tau_decorr_free_unit: E2E unit-vector decorrelation time in free space (seconds)
# - D_long: Long-time diffusion coefficient in free space (mm²/s)
# - H_conf: Shannon entropy in confinement, CAVITY ONLY
# - lp_conf: Persistence length from averaged correlation in confinement (normalized)
# - lp_conf_individual: Mean of individual polymer persistence lengths in confinement (normalized)
# - ttrap: Mean trapping time in cavity (minutes)
# - tau_decorr_cavity_full: E2E full-vector decorrelation time in cavity ONLY (minutes)
# - tau_decorr_cavity_unit: E2E unit-vector decorrelation time in cavity ONLY (minutes)
# - RMSE_D10/D20/D30: MSD matching RMSE (log-space) vs experimental 10/20/30C over [10-50s]
#
Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free_full,tau_decorr_free_full_error,tau_decorr_free_unit,tau_decorr_free_unit_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity_full,tau_decorr_cavity_unit,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,RMSE_D10,RMSE_D20,RMSE_D30
0.000000,0.100000,0.000000,5.417953,0.067325,0.012500,0.914725,0.080647,0.056175,,,,,0.002176,0.000004,0.999387,201.000000,,,,,,,,,,,,,,,2.150032,2.531694,2.609134
0.000000,0.100000,0.100000,5.348074,0.092303,0.012500,0.892510,0.108403,0.070337,,,,,0.002258,0.000014,0.992089,201.000000,,,,,,,,,,,,,,,2.132734,2.514454,2.592126
0.000000,0.100000,0.200000,5.578007,0.116244,0.012500,0.979907,0.153681,0.129595,,,,,0.003075,0.000014,0.995881,201.000000,,,,,,,,,,,,,,,2.129539,2.511221,2.588744
0.000000,0.100000,0.400000,5.449185,0.214693,0.012500,0.989183,0.277017,0.196821,,,,,0.004227,0.000008,0.999359,201.000000,,,,,,,,,,,,,,,2.118162,2.499879,2.577544
0.000000,0.100000,0.600000,5.723490,0.219403,0.012500,0.971263,0.256061,0.161875,,,,,0.002862,0.000006,0.999186,201.000000,,,,,,,,,,,,,,,2.132301,2.514022,2.591695
0.000000,0.100000,0.800000,5.536007,0.292006,0.012500,0.974030,0.321660,0.187800,,,,,0.004058,0.000006,0.999569,201.000000,,,,,,,,,,,,,,,2.140764,2.522452,2.599992
0.000000,0.100000,1.000000,5.394368,0.328004,0.012500,0.964518,0.342427,0.202708,,,,,0.003282,0.000005,0.999529,201.000000,,,,,,,,,,,,,,,2.112089,2.493812,2.571503
0.000000,0.100000,2.000000,5.157876,0.384904,0.012500,0.944132,0.382927,0.186879,,,,,0.004105,0.000009,0.998955,201.000000,,,,,,,,,,,,,,,2.155625,2.537285,2.614717
0.000000,0.200000,0.000000,5.273053,0.058624,0.012500,0.872711,0.068807,0.043582,,,14.832962,0.008333,0.006360,0.000011,0.999372,201.000000,,,,,,,,,,,,,,,1.834777,2.216450,2.294020
0.000000,0.200000,0.100000,5.316625,0.072207,0.012500,0.723818,0.093136,0.087484,,,,,0.008489,0.000009,0.999776,201.000000,,,,,,,,,,,,,,,1.852956,2.234630,2.312202
0.000000,0.200000,0.200000,5.382203,0.085445,0.012500,0.958562,0.103624,0.070831,10.414644,0.008333,9.922791,0.008333,0.003920,0.000011,0.998407,201.000000,,,,,,,,,,,,,,,1.844899,2.226507,2.303857
0.000000,0.200000,0.400000,5.589264,0.105094,0.012500,0.993499,0.126821,0.087345,,,,,0.007730,0.000021,0.998537,201.000000,,,,,,,,,,,,,,,1.847239,2.228912,2.306481
0.100000,0.100000,0.200000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.524313,0.149844,0.012500,0.870624,"(0.09132411803071151, 0.027687545860234444)",8.612585,9.509913,0.401928,0.324924,9.458367,20.967742,13.000000,49.000000,62.000000,0.868019,1.248785,1.330525
0.100000,0.100000,0.400000,5.990474,0.134265,0.012500,0.986430,0.195883,0.153391,0.861833,0.008333,0.722439,0.008333,0.301506,0.000030,0.999998,201.000000,5.242352,0.092514,0.012500,0.970466,"(0.11682159192704338, 0.07527874516341404)",4.336021,3.579293,0.486323,0.321726,43.438914,92.307692,24.000000,2.000000,26.000000,0.666847,1.046632,1.129291
0.100000,0.100000,0.600000,5.857577,0.168766,0.012500,0.987847,0.260227,0.194647,0.900659,0.008333,0.855299,0.008333,0.374171,0.000417,0.999753,201.000000,5.199329,,,,"(0.1437057209997505, 0.1047576380091755)",3.687255,4.020934,0.467737,0.387998,50.729743,100.000000,28.000000,0.000000,28.000000,0.569329,0.948341,1.031489
0.200000,0.050000,0.650000,4.617584,0.190253,0.012500,0.994672,0.277248,0.197400,0.563137,0.008333,0.129081,0.008333,1.266681,0.000364,0.999984,201.000000,5.352616,0.108141,0.012500,0.076898,"(0.1428945591072647, 0.10786357994677893)",2.124051,2.285103,0.066426,0.066358,0.740284,100.000000,1.000000,0.000000,1.000000,0.192334,0.200147,0.287698
0.200000,0.050000,0.800000,4.711792,0.232126,0.012500,0.995828,0.323711,0.214466,0.494979,0.008333,0.422108,0.008333,1.924257,0.000630,0.999979,201.000000,4.929709,,,,"(0.14126026613266807, 0.10615711727016194)",3.023568,4.059584,,,87.884268,97.200000,243.000000,7.000000,250.000000,0.257319,0.138100,0.227804
0.200000,0.100000,0.400000,6.014807,0.104240,0.012500,0.973731,0.136000,0.093539,0.397303,0.008333,0.163323,0.008333,0.926511,0.000438,0.999956,201.000000,5.243992,0.228733,0.012500,0.762679,"(0.0921464805666978, 0.05285738967580684)",3.397706,3.397559,0.291290,0.211503,68.633353,67.375887,95.000000,46.000000,141.000000,0.078439,0.325563,0.411176
0.200000,0.100000,0.650000,5.870108,0.190253,0.012500,0.994672,0.277248,0.197400,0.563137,0.008333,0.129081,0.008333,1.266681,0.000364,0.999984,201.000000,5.352616,0.108141,0.012500,0.076898,"(0.1428945591072647, 0.10786357994677893)",2.124051,2.285103,0.274981,0.196639,62.901260,96.629213,86.000000,3.000000,89.000000,0.192334,0.200147,0.287698
0.200000,0.100000,0.800000,5.680274,0.232126,0.012500,0.995828,0.323711,0.214466,0.494979,0.008333,0.422108,0.008333,1.924257,0.000630,0.999979,201.000000,4.929709,,,,"(0.14126026613266807, 0.10615711727016194)",3.023568,4.059584,,,87.884268,97.200000,243.000000,7.000000,250.000000,0.257319,0.138100,0.227804
0.200000,0.200000,0.650000,5.957862,0.115167,0.012500,0.984844,0.152066,0.118033,0.329733,0.008333,0.247993,0.008333,0.470711,0.000145,0.999981,201.000000,5.344283,0.201042,0.012500,0.849864,"(0.10504016930111255, 0.06644346559793202)",2.918321,3.271936,0.261446,0.193677,34.363976,35.658915,46.000000,83.000000,129.000000,0.068671,0.442115,0.524804
0.200000,0.200000,0.800000,6.003035,0.133899,0.012500,0.991342,0.184273,0.145681,0.427692,0.008333,0.339308,0.008333,0.591518,0.000096,0.999995,201.000000,5.538758,0.237777,0.012500,0.749538,"(0.12096189754020413, 0.07885564430975561)",,,,,,,,,,0.037490,0.379089,0.462573
0.250000,0.050000,0.000000,4.698608,0.060673,0.012500,0.956047,0.057240,0.021914,0.314291,0.008333,0.074940,0.008333,0.177475,0.000281,0.999501,201.000000,,,,,,,,,,,,,,,0.679474,1.061063,1.141060
0.250000,0.050000,0.050000,4.322853,0.060673,0.012500,0.956047,0.069403,0.024288,0.302350,0.008333,0.090571,0.008333,0.177475,0.000281,0.999501,201.000000,,,,,,,,,,,,,,,0.679474,1.061063,1.141060
0.250000,0.050000,0.100000,4.869914,0.070928,0.012500,0.972297,0.069403,0.024288,0.302350,0.008333,0.090571,0.008333,0.124110,0.000308,0.998778,201.000000,3.847048,0.076035,0.012500,0.985714,"(0.09769378284706284, 0.06519918615528165)",5.686932,6.639941,0.218197,0.147453,12.269447,16.666667,17.000000,85.000000,102.000000,0.679474,1.061063,1.141060
0.250000,0.050000,0.200000,5.160929,0.081365,0.012500,0.961269,0.084324,0.037058,0.332034,0.008333,0.094696,0.008333,0.469844,0.002310,0.995211,201.000000,5.692928,0.135763,0.012500,0.998531,"(0.11239405088843805, 0.07053936901016239)",10.437180,20.903444,0.148178,0.111359,11.738333,66.666667,16.000000,8.000000,24.000000,0.437075,0.818255,0.899047
0.250000,0.050000,0.400000,5.514397,0.107911,0.012500,0.975789,0.136000,0.093539,0.397303,0.008333,0.163323,0.008333,0.926511,0.000438,0.999956,201.000000,5.747485,0.911760,0.012500,0.663596,"(0.14196156680820746, 0.09608225330987562)",2.459394,6.021092,0.291290,0.211503,109.593430,94.409938,152.000000,9.000000,161.000000,0.078439,0.325563,0.411176
0.250000,0.100000,0.000000,5.101236,0.060673,0.012500,0.956047,0.057240,0.021914,0.314291,0.008333,0.074940,0.008333,0.177475,0.000281,0.999501,201.000000,,,,,,,,,,,,,,,0.679474,1.061063,1.141060
0.250000,0.100000,0.050000,5.223507,0.060673,0.012500,0.956047,0.069403,0.024288,0.302350,0.008333,0.090571,0.008333,0.177475,0.000281,0.999501,201.000000,,,,,,,,,,,,,,,0.679474,1.061063,1.141060
0.250000,0.100000,0.100000,5.262277,0.070928,0.012500,0.972297,0.069403,0.024288,0.302350,0.008333,0.090571,0.008333,0.124110,0.000308,0.998778,201.000000,4.923613,0.076035,0.012500,0.985714,"(0.0725237696884484, 0.025623186544575068)",5.686932,6.639941,0.218197,0.147453,2.303263,3.448276,3.000000,84.000000,87.000000,0.679474,1.061063,1.141060
0.250000,0.100000,0.200000,5.454769,0.081365,0.012500,0.961269,0.084324,0.037058,0.332034,0.008333,0.094696,0.008333,0.469844,0.002310,0.995211,201.000000,4.968294,0.135763,0.012500,0.998531,"(0.07186987566952437, 0.024335597832780713)",2.948691,3.288716,0.148178,0.111359,10.852090,14.851485,15.000000,86.000000,101.000000,0.437075,0.818255,0.899047
0.250000,0.100000,0.400000,5.883480,0.107911,0.012500,0.975789,0.136000,0.093539,0.397303,0.008333,0.163323,0.008333,0.926511,0.000438,0.999956,201.000000,5.747485,0.312731,0.012500,0.902260,"(0.14196156680820746, 0.09608225330987562)",3.397706,3.397559,0.291290,0.211503,68.633353,67.375887,95.000000,46.000000,141.000000,0.078439,0.325563,0.411176
0.250000,0.100000,0.600000,5.975556,0.161875,0.012500,0.993120,0.239353,0.181175,0.369431,0.008333,0.310279,0.008333,1.031991,0.000077,0.999999,201.000000,5.727519,0.892173,0.012500,0.688554,"(0.1508306478266161, 0.10728138144439518)",1.777053,1.881726,,,91.855113,74.780059,255.000000,86.000000,341.000000,0.132986,0.259848,0.345813
0.250000,0.100000,0.700000,5.879407,0.190253,0.012500,0.994672,0.277248,0.197400,0.369598,0.008333,0.322314,0.008333,1.266681,0.000364,0.999984,201.000000,5.352616,0.108141,0.012500,0.076898,"(0.1428945591072647, 0.10786357994677893)",1.119381,1.036389,0.200509,0.142374,62.901260,96.629213,86.000000,3.000000,89.000000,0.192334,0.200147,0.287698
